ProvID,NamaProvinsi,GarisPantai
11,Aceh,2266.27
12,Sumatera Utara,1300
13,Sumatera Barat,1973.24
14,Riau,2190.78
15,Jambi,236
16,Sumatera Selatan,570.14
17,Bengkulu,525
18,Lampung,1105
19,Kepulauan Bangka Belitung,2189.55
21,Kepulauan Riau,2368
31,DKI Jakarta,35
32,Jawa Barat,848.63
33,Jawa Tengah,738.08
34,DI Yogyakarta,112.8
35,Jawa Timur,1900
36,Banten,500
51,Bali,633.35
52,Nusa Tenggara Barat,2333
53,Nusa Tenggara Timur,2699
61,Kalimantan Barat,1398
62,Kalimantan Tengah,750.6
63,Kalimantan Selatan,132.96
64,Kalimantan Timur,1169.81
71,Sulawesi Utara,2395.99
72,Sulawesi Tengah,5707.27
73,Sulawesi Selatan,1937
74,Sulawesi Tenggara,1740
75,Gorontalo,655.8
76,Sulawesi Barat,677
81,Maluku,10630.1
82,Maluku Utara,5624.66
91,Papua Barat,11243.59
94,Papua,5031.12
